customer_id,customer_segment,city,created_at
CUST00050,REGULAR,Ha Noi,2026-07-11T19:33:00+00:00
CUST00051,CHURN_RISK,Hai Phong,2026-02-13T11:47:39+00:00
CUST00052,NEW,Ha Noi,2026-03-11T15:01:54+00:00
CUST00053,NEW,Ho Chi Minh,2026-06-03T20:24:02+00:00
CUST00054,REGULAR,Hai Phong,2026-06-07T03:52:27+00:00
CUST00055,NEW,Hai Phong,2025-09-29T23:17:57+00:00
CUST00056,NEW,Ha Noi,2025-12-01T14:58:31+00:00
CUST00057,NEW,Ha Noi,2025-08-13T15:21:25+00:00
CUST00058,REGULAR,Hai Phong,2026-02-06T12:55:44+00:00
CUST00059,CHURN_RISK,Ha Noi,2026-06-15T03:26:02+00:00
CUST00060,CHURN_RISK,Da Nang,2025-08-13T15:22:06+00:00
CUST00061,VIP,Hai Phong,2025-11-13T15:55:11+00:00
CUST00062,CHURN_RISK,Ho Chi Minh,2026-06-04T19:58:24+00:00
CUST00063,NEW,Can Tho,2025-10-29T15:31:15+00:00
CUST00064,VIP,Ha Noi,2026-07-30T11:40:02+00:00
CUST00065,REGULAR,Ha Noi,2025-07-31T14:40:47+00:00
CUST00066,REGULAR,Ha Noi,2025-12-24T08:07:59+00:00
CUST00067,REGULAR,Hai Phong,2026-07-02T04:36:42+00:00
CUST00068,REGULAR,Can Tho,2025-12-24T14:22:13+00:00
CUST00069,CHURN_RISK,Hue,2025-12-29T00:43:19+00:00
CUST00070,VIP,Ho Chi Minh,2025-11-24T19:24:15+00:00
CUST00071,VIP,Hai Phong,2026-06-28T00:43:19+00:00
CUST00072,CHURN_RISK,Da Nang,2025-08-12T11:54:07+00:00
CUST00073,NEW,Hai Phong,2025-12-13T23:55:20+00:00
CUST00074,NEW,Ha Noi,2026-01-16T11:04:27+00:00
CUST00075,REGULAR,Da Nang,2025-08-31T19:28:50+00:00
CUST00076,VIP,Da Nang,2026-06-17T02:27:15+00:00
CUST00077,VIP,Can Tho,2025-07-21T16:26:41+00:00
CUST00078,NEW,Hue,2025-09-26T20:54:52+00:00
CUST00079,NEW,Ho Chi Minh,2026-05-05T08:39:49+00:00
CUST00080,REGULAR,Da Nang,2026-04-29T02:17:43+00:00
CUST00081,VIP,Ho Chi Minh,2025-11-17T04:24:38+00:00
CUST00082,CHURN_RISK,Da Nang,2025-08-22T01:18:33+00:00
CUST00083,NEW,Hue,2026-03-03T07:18:32+00:00
CUST00084,NEW,Da Nang,2025-10-14T22:36:06+00:00
CUST00085,VIP,Ho Chi Minh,2025-10-26T23:29:40+00:00
CUST00086,CHURN_RISK,Can Tho,2026-08-16T01:26:24+00:00
CUST00087,REGULAR,Can Tho,2026-08-05T05:38:16+00:00
CUST00088,REGULAR,Hai Phong,2026-06-29T17:25:59+00:00
CUST00089,NEW,Da Nang,2026-05-27T17:31:33+00:00
CUST00090,NEW,Da Nang,2025-10-11T02:32:56+00:00
CUST00091,CHURN_RISK,Can Tho,2025-10-23T07:43:20+00:00
CUST00092,REGULAR,Ho Chi Minh,2025-07-24T17:46:27+00:00
CUST00093,CHURN_RISK,Ha Noi,2026-06-08T08:52:27+00:00
CUST00094,CHURN_RISK,Hue,2025-09-07T14:20:17+00:00
CUST00095,VIP,Ho Chi Minh,2025-10-08T22:43:06+00:00
CUST00096,NEW,Hai Phong,2026-05-22T05:51:17+00:00
CUST00097,CHURN_RISK,Da Nang,2026-04-19T03:52:29+00:00
CUST00098,REGULAR,Ho Chi Minh,2026-08-10T08:22:45+00:00
CUST00099,VIP,Da Nang,2025-09-07T07:58:23+00:00
CUST00100,VIP,Da Nang,2025-12-06T00:34:57+00:00
CUST00001,NEW,Ha Noi,2025-10-27T03:28:57+00:00
